,intersection,text_blob,latitude,longitude,zip,city
16,18th-glenarm,bus only 1800 18th st one way 18th st glenarm 1800 1800 glenarm public parking pay here 600 each 12 hr 20000 max visa mastercard discover american express denvr bikeway n capitol hill 01 union station 09 union station 09 public parking pay here 600 each 12 hr 20000 max 1700 illegible parking public parking touchless payment options enter exit 10 private property no trespassing no parking anytime tow away zone street sweeping this side 2am 6am tuesday and thursday tow away zone paybyphone the denver no parking anytime tow away zone denver bikeway to n capitol hill the ride denver bikeway civic center 06 denver illegible 03 no parking anytime tow away zone street sweeping this side 2am 6am monday and wednesday tow away zone street sweeping this side 2am 6am tuesday and thursday tow away zone no parking anytime tow away zone one way do not enter road closed ahead pay at exit credit card only clearance 68 p paybyphone park pay p paybyphone park pay denver bikeway to denver street sweeping this side 2am 6am tuesday and thursday tow away zone no parking anytime tow away zone road work ahead 18th st 1800 no turn on red no double turns exit only stop when red light is on receiving dock clearance 12 4 clearance 12 4 clearance 12 4 upton selling 2024 studios 1 2 and 3 bedroom residences register now uptownresidencescom union station illegible five points illegible denver downtown illegible no parking anytime tow away zone grand hyatt truck loading by permit only all other times street sweeping this side 2am 6am monday and wednesday tow away zone no parking anytime tow away zone uptown residences live above,39.74575,-104.98808333333334,80202.0,denver
17,19th-california,1700 illegible exit only do not enter 19th street 1900 one way parking open 24 hours only only only only busses excepted california st 700 no turn on red 44 wheat ridge rtd the ride westword no rear attachments allowed in garage includes bike tire and ski parker is responsible for any damage to property entrance clearance 66 after hours use stout street entrance entrance clearance 66 clearance 66 clearance 66 united states bankrupcy court no parking anytime tow away zone one way train only do not enter want to be catholic tuesdays 630pm westword the ride no parking anytime tow away zone street sweeping this side 2am 6am tuesday and thursday tow away zone new to the zoo gorilla trek vr experience 2 hour limit 2 hour limit 2 hour limit speed limit 25 no parking anytime tow away zone street sweeping illegible tow away zone no parking anytime tow away zone right lane must turn right plaza parking parking open 24 hours entrance clearance 610 entrance temporarily closed exit only exit only,39.747972222222224,-104.98858333333334,80202.0,denver
18,1st-cook,midfirst bank key bank 1st ave cook st olive finnch a vet for the people of denver stop yield here to cross state law within crosswalk free valet parking lobby drive thru atm we install christmas lights christmas lights instillation for lease office space blake holcomb brian huff cbre no parking anytime fire lane tow away zone kohler speed limit 30 center lane only salon lofts key bank parking only for customers doing current onsite busniess violators will be towed at vehicel owners expense 101 asian fusion dinein takeout delivery,39.71780555555556,-104.94741666666667,,denver
19,20th-blake,coors field one way blake st 1500 one way notice please do not place encumbrances in the public right of way the city will remove all items encumbering the public space in this area i25 e express lanes road work ahead home plate the player home plate cr cr cr cr win a 2000 scholarship colorado mesa university coloradomesaeducoke coca cola blake st 20th st i25 hov 3 bicycle parking only all times painting with a twist denver bikeway to lower downtown 1948 blake gate b ballpark museum national ballpark museum open chfa escape room now open escapeworksdenvercom reserved parking 4 hour limit all other times reserved parking 4 hour limit all other times blu river for sale beta billboard rolling stone usa today voodoo ranger ipa party like its 1985 70 colorado beers on tap denver bikeway highlands nbhd 08 central bd 03 union station 04 no parking anytime tow away zone no parking anytime tow away zone the ride pay here in advance no free parking focus parking westword westword p budweiser public parking parkwell 12 flat rate before 4pm 20 flate rate after 4pm pay here payment instructions public parking express lane hov 3 no toll with expresstoll express lane 20th st 2000 one way,39.75436111111111,-104.99425,,
20,20th-parkavenue,one way traffic wingstop thrive where flavor gets its wings uptown healthcare district 1984 1982 near near near near colorado strong ahead pv solar array benedict park place school speed limit 20 when flashing in memory of denver police officer pasquale c marinare 50th anniversary childrens museum,39.7475,-104.97830555555555,80205.0,denver
21,20th-sherman,gamma gallery lemonade house 23 clearance 70 grant park commercial parking by permit only grant park commercial parking by permit only stop posted no trespassing p go contactless park pay with the paybyphone app no parking any time tow away zone passenger loading only all times passenger loading only all times warning protected by video grant park condominium private property private property no trespassing violators will be prosecuted mobile crime scene unit sheriff adams county mobile crime scene unit sheriff adams county 911 911 emergency lyft bikes and scooters ram 2500 were hiring d9 d9 no parking any time tow away zone private parking wyatts towing pizza 314 200 e sherman st permit parking denver public schools parking only all others will be towed at owners expense street sweeping p this side 1st wednesday apr thru nov 8am 12noon tow away zone huevo7 wf2 d9 20th welton lrt 01 no parking any time tow away zone street sweeping p this side 1st tuesday apr thru nov 8am 12noon tow away zone two way traffic 20th ave 2000 n passenger loading only all times no parking any time tow away zone private parking local aid society spaces 5 39 lau cho pc 40 50 private parking wyatts towing united states postal service united states postal service lau choi pc attorneys at law passenger loading only 7am 6pm sun hol exc pay here pay here early bird special 11 in berfore 930am expit before 8pm monday friday the aldha child,39.74755555555556,-104.98486111111112,80205.0,denver
22,22nd-franklin,1600 e franklin st 22nd ave stop stop stop stop stop stop stop stop no parking any time tow away zone shockcor real estate no parking any time tow away zone shockcor real estate 2 hr parking 8am 6pm street sweeping p this side 2nd wednesday april thru nov 8 am 5 pm tow away zone no parking any time tow away zone,39.74944444444444,-104.96844444444444,,denver
23,2nd-clayton,denvers favorite burgers stop lif is an art cherry creek north north italia stop pedestrian crossing cooked so good directory stop aon,39.71941666666667,-104.95586111111112,,denver
24,2nd-milwauke,the shade store california closets design studio second avenue winter wonderland cherry creek north yeti 3 hour paid parking no parking 2 am to 6 am milwauke street shops lights bites cherry creek north life is sweet rag and bone winter coming 2425 dion nails no parking anytime 3 hour paid parking milwaukee st tavern stop thrive dion nails 3 hour paid parking anb plaza stop,39.71941666666667,-104.95219444444444,,denver
25,2nd-stpaul,cb2 jacquard kentwood real estate element home anb plaza hapa sushi grill and sake bar piatti restoratnte and bar the hunt is over we found it for you 2024 fall collection stop all way saint paul st boffi denver rental alpine bank no parking thursday street sweeping 2am6am tow away zone no parking anytime fire lane 3 hr paid parking 8am7pm second ave essence nail lounge clmbr,39.71941666666667,-104.95100000000001,,denver
26,38th-race,republic services caution caution caution caution caution caution customer parking no parking tow away zone private pakring no trespassing private parking manager parking only manager parking only fire alarm panel inside fire riser inside 38th ave 2000 e race st no parking any time tow away zone street sweeping p this side 2nd tuesday april thru nov 8am 5pm tow away zone coleman no parking any time tow away zone,39.769333333333336,-104.96341666666667,,denver
27,3rd-glencoe,3rd ave stop speed limit 25 over 7000 lbs empty wt no parking any time no soliciting no soliciting exit for sale neighborhood watch and operation idenitification rip gutters 15 mph,39.72102777777778,-104.92580555555556,80220.0,denver
28,56th-pena,one way toll south e470 do not enter do not enter one way toll north e470 do not enter colorado air and space port 56 street windler try pointe,39.79830555555555,-104.78691666666667,,aurora
29,6th-santafe,the pza pizzeria pizza closed colorado historic district tattoo expo and fest national western complex live tattooing all weekend tattoo competition,39.72577777777778,-104.99858333333333,80204.0,denver
30,7th-santafe,tribe tattoo denver public library thunderbird man branch library masajes sobador pay here beware of snow and ice passing through these premises is prohibited one way one way el taco del mexico adopt a stop mystop el taco de mexico authentic mexican food specials el taco de mexico denver art society art district on santa fe,39.727333333333334,-104.99866666666667,80204.0,denver
31,8th-santafe,studio strawberry mountain atax sushi rocky my hair trip pop gallery boho rugs garage vintage green drink 24 hour public parking the zone green lady gardens art district antiques rocky yama sushi wong strauch architects grease monkey frank azar freakys art district,39.728944444444444,-104.99858333333333,80204.0,denver
32,9th-santafe,street hate tattoo museo de la americas apex real estate vfw post 1 for lease car wash long live andrea interiors threyda elavated metaphysical,39.73052777777778,-104.99863888888889,80204.0,denver
33,alameda-broadway,alameda ave s broadway one way turning vehicles mcdonalds book mall subway sinclair silco fuels diesel car wash atm sinclair oreilly auto parts orcas tattoo festival villainartscom july 8th 10th car wash entrance,39.71116666666667,-104.98761111111111,,denver
34,alameda-federal,bungalow liquors 1st bank federal alameda 1st bank the 720 the 720 lehrers flowers photo walgreens pharmacy classico event center dandy dans hot women cold beers gentlemans club girls topless dd sportswear taco bell caratchos barbers,39.711194444444445,-105.02505555555555,,denver
35,arapahoe-broadway,eternity beauty salon monty nuss photography wangs gourmet las delicias dog grooming this buds for you liquor sunset strip beer wine beachcomber hair salon pet salon moon spa out of breath sports retail for lease for sale the castle bar and grill pho broadway american auto enhancement colorado medical health trainig oasis business broker mannings steaks spirits now open highline professional center developed by turnmar speed limit 25 no parking anytime tow away zone 2 west dry creek circle ascencia farmers insurance highline family dentistry pc left turn must turn left archer financial group erik polmberg dds pllc health financial inc littleton village everything must go rock shop everything must go 3050 off everything must go rock shop everything must go 3050 off please do not enter culvers culvers befort plumbing and heating befort plumbing and heating available rollert avery companies inc,39.595111111111116,-104.98825000000001,80122.0,littleton
37,arapahoe-havana,arapahoe road arapahoe road top golf top golf top golf top golf culvers culvers autozone autozone echo park automotive echo park automotive toyota toyota araprahoe araprahoe mc donalds mc donalds circle k circle k araprahoe coners araprahoe coners pizza hut pizza hut liquor liquor korean resturant korean resturant naan curry grill naan curry grill fed ex fed ex blue frog plumbing blue frog plumbing out back steak house out back steak house discount tires discount tires dickeys barbecue pit dickeys barbecue pit e araprahoe e araprahoe mazda mazda conoco conoco,39.59513888888889,-104.86677777777777,80112.0,centennial
38,arapahoe-jordan,famous daves target red robin e briarwood cir marcos pizza european wax center pokecity mreyedrod panera bread ross dress for less redstone bank eat fit go golden corral buffet grill additonal parking stop 3 way davidsons beer wine spirts celebrity wines alpine green dumpster waste and recycling 3037449881 les schwab tire center sema construction truck lady janes haircuts for men,39.594972222222225,-104.82105555555555,80016.0,centennial
39,arapahoe-lima,arapahoe road right lane must turn right cushman wakefield available 20000 350000 sf 720 987 8954 tyler smith alec rhodes aaron valdez chase speed limit 35 firebowlcafe snappy nails mahnasium chicago mikes available david hicks lampert 3036946082 probation department for lease 720 528 6300 arapahoe county lima plaza 69046984 south lima street motor vehicle road work ahead right lane must turn right fedex fedex office dance dentist craft beer for sale linclon executive center,39.59502777777778,-104.85747222222221,80112.0,centennial
40,arapahoe-peoria,bicycles dog grooming martial arts giant centinnial liv house of meats lovett family chiropractic zaris intl market and halal meat my favorite muffin your all day bakery cafe my favorite muffin perfectly delicously uniquily delighful sushi kazu alterations critter care animal hospital stinker sinclair chipotle inchins bamboo garden pan asian cusine subway dog haus arapahoe buisness park for lease jll s peoria st arapahoe rd,39.595083333333335,-104.84816666666666,80112.0,centennial
41,arapahoe-university,speed limit 35 lane ends 500 ft 25 mph qdoba noodles us bank first bank only only s university blvd 2400e atmdriveup parking office space for lease 7202559900 pro source commercial reality southglenn plaza 2305 east arapahoe brokers guild wi ware immigration 303 7978055 wwwdavidwarecom chase kitchen and bath cabinetry shanghai garden walgreens save up to 5 penske truck rental household business rentals gopenskecom 1800gopenske mici italian dq orange julius european wax center southglenn modern densitry poke story pearle vision great clips geltao pasta pizza mici italian modern densitry european wax center tip to toe nails manicure pedicure spa manicure spa pedicure waxing skincare silk and gel curbside pickup stop join our team qdobacareerscom party specials birthday specials wedding specials open sleeping spree event save up to 500 300 instant gift mattress firm delivery your way special financing open reserved parking reserved parking reserved parking van accessible wells fargo floyds barbershop huckleberry roasters natural grocers this thanksgiving npower offer reserve your turkey by october 31 vegetarian and vegan holiday choices reserve your turkey today fresh deep chilled never frozen reserve your turkey today 5 deposit required feed your family of four a stir fry meal for only 14 no parking fire lane land of sushi entrance barber and salon jenny craig no parking any time fire lane all cs collectibles roro juice organic juice bar microgreens salads raw bowls paninis organic cold pressed juices crafted teas cold brew coffee kombucha easier is here stretch zone stretch zone stretch zone stretch work play repeat stretch work play repeat paper wise shredding paperwise shredding aaa naid certified drop off shredding available sullivanhaves el senor sol real mexican food,39.59516666666667,-104.96027777777778,80122.0,centennnial
42,arapahoe-yosemite,eyecare consultations interstate 25 north arapahoe rd interstate 25 north south arapahoe rd exit only uhaul gv e arapahoe road no turn on red 6am 8am 4pm 6pm only only only gv e arapahoe road right lane must turn right no turn on red 6 am 8 am 4 pm 6 pm king soopers fresh for everyone 8586 e arapahoe rd eyecare consultants centennial vapor united nails eyelash feel free modern market eatery daves hot chicken 1st bank yosemite king soopers papa johns texas massage red robin united nails eyelash centennial vapor vision surfer eyecare consultants officials 8586 e arapahoe rd united nails eyelash centennial vapor vision surfer taco bell breakfast taco bell solera salon and spa,39.594944444444444,-104.88891666666667,80112.0,centennial
43,arizona-federal,tacos y tortas carnitas el amarillo sanderson gulch trail torres mexicon food star kitchen pho buy denver 0 lien kitchen napa auto parts bakers palace far east center el coco pirata the empress seafood restaurant la villa real sleeping giant brewing company barnum dog park nosh catering denver fire station secular hub corner house pizza denver concrete and landscaping,39.694916666666664,-105.02516666666666,80219.0,denver
44,arkansas-federal,pho 95 vectra bank family dollar gen x vietnamese restaurant playa azul new western mortgage mais tax prep law office churchs chicken cakeland conoco fastlunch dinner large washers panaderia las delicias toro taxes us bank federal security service checks cashed,39.69102777777778,-105.02508333333333,,sheridan
45,belleview-kipling,mcdonalds tamale kitchen canton chinese restaurant yogurt land littleton burger king taco bell dunkin walgreens devil dog brew king soopers chuck and dons pet supply morning star assisted living starbucks comfort dental braces littleton advance auto parts healthy leather bouton veterinary hospital belleview west animal hospital redrocks fellowship goodwill store west hill grill yogurtland littleton hr block dairy queen grill chill starbucks coffee company pmi little town 1st bank safeway dq grill chill hr block boba zone canton chinese restaurant brazilian jiu jitsu animal hospital kipling marketplace unleaded diesel safeway safeway safeway reddy ice bluedef firewood shop at safeway save at the pump wells fargo wells fargo wells fargo wells fargo wells fargo wells fargo wells fargo wells fargo wells fargo wells fargo wells fargo comfort dental braces braces 99 per month with our gold plan no down payment 99month with our gold plan 3039338464 saucys pizza dining room now open come join us today open pizza calzones pasta sandwiches salads family owned since 2001 order online at mysaucyspizzacom saucys 3039048800 dinein pickup free delivery lunch menu monfri 113 dinein pickup only now hiring saucys tamale kitchen open dinein takeout catering burritos tostadas enchiladas chile rellenos supplement giant sunday 126 monday 108 tuesday 108 wednesday 108 thursday 108 friday 108 saturday 106 live giant open facp inside low carb meals lean kitchen company delicious meals for onthego perfect portions no added sugar no preservatives never frozen reserved parking liquors blue moon bud light seltzer black cherry black cherry black cherry lemon lime lemon lime lemon lime strawberry strawberry strawberry mango mango mango ice cold mdoel sold here coors light enjoy like a pro 1399 12 pack new belgium brewing 1049 6 pks come in for cold coors lgiht coors light coors light open open bud light open miller high life we wholesale wwwtherevivecbdcom revive cbd mondaysaturday 107 sunday 125 cbd tinctures concentrates edibles capsuls cbd for pets lotions balms bath bombs free samples,39.62427777777778,-105.11002777777777,,littleton
46,belleview-wadsworth,city buffet peak kia peak honda world boot barn phil long ford denver walmart costco lake havern school michaels papa jhons firestone autpshop crystal nail kung fu tea crumbl cookies charging station noodles and company nissan nissan parts store schomp nissan republic services chase bank raising canes one love marston park plaza city buffet mongolian sushi seafood turn style consignment stores americas best contacts eyeglasses cricket little caesars wag n wash nail talk 3000 margaritas cleaners shoe repair tailoring allstate usps for lease do not enter hacienda colorado fitness jack in the box kidstrong cell phone repair kids club furniture clothing creer family dentistry vitalant stop notice edible kia,39.62416666666667,-105.09116666666667,,littleton
47,bowles-coalmine,brunos kitchen circle k subway summit family dental walmart public storage warren tech south dakota ridge high school walgreenss pharmacy west hill grill goodwill donation center the lucky mutt maverick iwayasama sushi pump shop n save stone wolf pet grooming salon sei bella foothill green shopping center asteria tattoo and body shop,39.60966666666667,-105.14772222222223,,littleton
48,bowles-kipling,dairy queen big o tires tacos selene hotpot den kippling place shopping center praise church las fajitas mexican restaurant light of the world catholic church west metro fire station india nepal oven red rocks church pho 9 jins asian bistro wave the grain bakery natkan cafe rice n roll gyros and grill southwest plaza farmers market starbucks professional violin shop bowles living ace hardware rental paint cindys gifts chiropractic mountain man nut fruit co florist thai bistro great clips liquors open ultra coors coors kipling place liquor great clips open open open tacos selene authentic mexi eaten in take out we cater 303972 0905 open exit only open kay kare nails eyelash extensions nails walkins welcome eyelash extensions reserved parking customer parking only customer parking only come in open water source purified water fresh water salon palazzo hair extensions waxing skin care nails salon palazzo hair pizza blackjack pizza salads handcrafted crunchy crust smothered in cheese pizzas employee entrance blackjackpizzacom 3039791996 blackjack pizza salads desserts wings calzones desserts salads blackjackpizzacom 3039791996 blackjackpizzacom 3039791996 chens kitchen authentic taiwanese food 30 minute parking between signs 30 minute parking between signs 30 minute parking between signs 24 hour fitness 24 hour fitness elvis cinemas cinema lyle lyle crocodile amsterdam halloween ends clerks 3 smile top gun maverick hanebrinks insurance laptop pc repair wing street pizza hut lidc irrigation landscape garden grow open flammable amerigas propane propane bump jumpstreet root beer bar old crows antiques stop entrance peoples kenpo karate call for our back to school specials 3039332211 open 3039332211 bathshower remodel massage cleaners liberty tax now open open alteration dry cleaning shirts laundry we do draper leathersuede down comforter oriental professional alterations pearl spa open 7 days 9am9pm massage open massage 7208509858 concealed handgun classes 7209842024 open say hello to deepblue tax information drop off nails nails spa open open open curbside pickup text hut to 3039731651 new ovenbaked pastas try all 4 of our ovenbaked pastas new melts 699 alpine animal hospital open wine liquors open mountain time 12pack cans 1399 grab keystone light to share 1899 30 pack cans five trail american whiskey 5999 750 ml bottle mountain time means game time keep it twisted dales pale ale coors light irish red coors light not free packaged ice ice happy hound wheatley vodka miles ten high kentucky southern comfort original tuca fireball yukon jack platinum silver tequila canadian hunter rocky mountain hair design walk ins welcome happy hound above beyond sewing vacuum open walgreens cvs pharmacy drivethru pharmacy lawn and garden big o tires,39.60969444444444,-105.10997222222221,,littleton
49,bowles-wadsworth,olive garden trader joes one way street sign dutch bros first watch urban air gunther toodys diner park view pediatrics mesa latin kitchen color me mine via 313 escape the room denver southwest plaza mythic games big daddys burger bar rice n roll happy pho epic mountain gear rei swimming pool sunflower speech first watch us bank nekter legend teriyaki madness jimmy johns garbanzo longhorn mesa learning information mckinney piazza de carlo michelle de carlo state farm insurance and financial services office hours bowles crossing vasa ross trader joes burlington dsw five below corvus the lake house kitchen tavern restore 100 chiropractic yoga stx stop handicapped parking floor decor beau visage skin care spa eye glass world get 2 pairs for 99 music go round pho basil le peep amc,39.60969444444444,-105.09138888888889,,littleton
50,coalmine-kipling,emergency natural grocers lowest cigarette prices around murphy usa ethanol free available public storage one way carlson jefferson county public schools gas express car wash available garrison capitol realtor advisors no outlet church parking only the church of jesus christ silver leaf no parking on the street live luxury carlson family dentistry implants coal mine adventhealth silver leaf littleton adventist hospital natural grocers organic produce gas express save 250 off 2 marlboro packs kipling left 2 lanes must turn left west littleton er no parking fire lane emergency vehicle only left 2 lanes must turn left car wash cstore,39.59769444444445,-105.11019444444445,,littleton
51,colfax-cherry,auto zone look it up slaughterhouse pollution denver capitol liquors thick as thieves denver solace meds feel whole stoners pizza joint the ride open capitol liquors no parking torres vapes herbal daze smoke shop open denver key and lock smoke shop tobacco accesories top herbal daze atom anointed beauty salon walkins welcome hands shampoos autozone,39.74016666666667,-104.93388888888889,80220.0,denver
52,colfax-dayton,we buy gold colfax pawn casa de epeno joyeria open 10 pawns 10 loans atm jewelers excellent personal home care unique properties for sale house of beauty openen pawn jumping cash jack come one in we are open to loan you money jumping cash jack toegether seguros a city wide insurance agency obtenga mas informacion somber su medicare vas a complur 65 tenemos un plan para ti segura medico de bajo costco divas hair studio azalek tattoos lowlights extensions highlights hair color barber call stylist hair cuts citas makeuakeup,39.74022222222222,-104.87527777777777,80010.0,aurora
53,colfax-havana,pollo pincante irvings salon century square little ceasears propane 7 eleven right lane must turn right sobador y huesero ciatica torceduras enpacho ovarios reparacion de caltada don pepe insurance open nutricion creativa te ramos reparacion de caltada auto accessories and sound tacos baberia latinos open tortas burritos quesadillas centro del vaquero premiere club,39.74019444444445,-104.86583333333333,80010.0,aurora
54,colfax-ironton,cambios d cheques envios d dinero enva botanica san judas cambios d cheques puaas y spa top art nails envios d dinero amarres limpias lectures de cartas vidente se hacen amarres limpias y mas se hacen consultas barrias veladoras aceites incienzo llame ahorita para su cita tacos al vapor machetes birria mercado 15 downtown taco bell,39.74016666666667,-104.86341666666667,80010.0,aurora
55,colfax-ivanhoe,yolo rum you only leave once original myxed up creations studio home of myxed up media private office lofty expectation llc e colfax ave studio of yolo rum yolo podcast back to the digital yolo rum azul yolo rum razz yolo rum you only live once enjoy responsibly yolo rum yummy private office taxes tax service bookkeeping irs efile copias closed open mouna hair braiding beauty supply mouna hair braiding beauty supply open liquor liquor open coors light monaco 2 shots in every can get some yolo rum fireball whisky budweiser jose cuervo jose cuervo 21 recreational marijuana dispensary 1 hr parking 8am 6pm sun hol exc no parking any time tow away zone cash paid for old motorcycle dead or alive smile youre on camera private parking sas pure marijuana dispensary 8am midnight everyday 21 only private parking denver auto and paint famous pizza subs subs salads calzones wings gyros smile youre on camera no parking any time tow away zone office freaky tattoos piercings tattoo piercing piercing pipes abyssinia ethiopian restaurant restauraunt and lounge botnica yerbera el secreto universal wwwtuvidaespiritualcom e colfax abyssinia ethiopian restaurant open open serving the denver metro area fast effective and always advanced advanced locksmith automotive commercial residential phoencan kebab phoencan kebab denver mediterranean cuisine delicious mediterranean cuisine we are clean safe we buy junk cars junk removal scrubbles selfservice car wash mastercard visa american express discover contactless touchfree payments spot free rinse office denver auto body exit only clearance 83 peloton live studio fitness from the comfort of home street sweeping p this side 3rd wednesday apr thru nov 8am 5pm tow away zone no parking any time tow away zone street sweeping p this side 3rd tuesday apr thru nov 8am 5pm tow away zone,39.74013888888889,-104.92169444444446,,denver
56,colfax-logan,tycoon ramen sushi happy hr menus fork and spoon denver drug and liquor store cold beer spirits buy and sell bitcoin corona jerrys record exchnage satellite bar come in and grab a per sierra nevada brewingco capitol hill books new house hotel denvers best burger city grille for sale 303 832 1092 danks a lot anti genius league road work ahead tasty thai cathedral basilica fork and spoon open,39.740027777777776,-104.98236111111112,80203.0,denver
57,colfax-moline,moline corner store coffee phone cards donuts tarjetas telefonicas envio de dinero milk cigarrettes leche cigarros money orders hielo metro by tmobile cash 4 gold tacos el zacatecano milanesa de pollo menudo tacos tortas burritos sopes tripas lengua chorizo gold center compramos we loan jewlery guns tvs tacos jalapa risas dental braces el mercado de colorado tacos produce panderia tortilleria carnerceria crystal gas we are open peoples pawn and jewlery compramos ora taxes insurance masajes tortas tacos y burritos pawn shop bienvenidos a la cascada agencia de empleados en hoteleria go america storewide sale,39.74019444444445,-104.85411111111111,80220.0,denver
58,colfax-pennsylvannia,time offline bargain house tasty thai theride nob hill inn dumans jonnys market the great wall mcdonalds buddies charity beer bust la abeja resteraunt wings and things marthas beauty salon jacks market cityvet car crash attorney sweat hot yoga sculpt cycling bourbon grill rental sales dumans custom tailoring formal wear uniforms no parking great wall chinese food la abeja restaurant cos tortas buddies charity beer bust mcdonalds coors light private property loading only,39.740027777777776,-104.98108333333333,80203.0,denver
59,colfax-quebec,crossfit park hill junk removal free estimates we buy junk cars abass hair supply hair supplies coin laundry coin laundy roadside service jamaican jerk rasta gold chicken house buffalo style jalapeno rings fried green tomatoes u dirty it we clean it laundromat private propery no trespassing buffalo bills wings and things alignment and tires cash paid for old motorcycles dead or alive,39.74016666666667,-104.90347222222223,80220.0,denver
